#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2     image_file
#                                                                     mJy        arcsec        arcsec        degree            um                                                            arcsec    arcsec                                                       
    2011.0.00097.S    1    1    3            COSMOS9_field3       0.32248      0.607952      0.405454        83.525       876.617   150.3306087     1.8136881   150.3306226     1.8136742   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field4      0.312739      0.581536      0.408766        85.946       876.617   150.3367391     2.1240350   150.3367530     2.1240211   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field4_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field5      0.318678      0.576043      0.406238       86.3858       876.617   150.3669865     1.7232455   150.3670004     1.7232316   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field6      0.311565      0.567273      0.412356       86.4203       876.617   150.3773628     2.3118270   150.3773767     2.3118131   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field7      0.304371       0.56492      0.411319       86.8827       876.617   150.3791550     2.5295759   150.3791689     2.5295620   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field8      0.288509      0.563548      0.411885       87.7819       876.617   150.3844605     2.1798842   150.3844744     2.1798703   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field9      0.314181      0.559642      0.409854       87.4163       876.617   150.3935884     1.9800235   150.3936023     1.9800096   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field10      0.371567      0.481164      0.377613       -58.932       876.614   149.9148390     2.0943738   149.9148529     2.0943599   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field11      0.379996      0.479876      0.379082      -56.9233       876.614   149.9189140     2.6430291   149.9189279     2.6430152   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field12      0.382729      0.482303      0.372381      -57.7913       876.614   149.9629684     2.6131391   149.9629823     2.6131252   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field13      0.362467      0.480888      0.381742      -57.5502       876.614   149.9986316     2.0634563   149.9986455     2.0634425   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field14      0.359897      0.484382      0.376135      -57.5613       876.614   150.0683813     2.2655147   150.0683952     2.2655008   102.300   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field15      0.333751       0.48157      0.374828       -54.958       876.614   150.0728075     1.7361654   150.0728214     1.7361515   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field16      0.354889      0.484755      0.374736      -56.8245       876.614   150.0769597     2.5489722   150.0769736     2.5489583   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field17      0.326098       0.48757      0.377586      -54.1962       876.614   150.0904125     2.5504996   150.0904264     2.5504857   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4          COSMOS10_field18       0.32907      0.487134       0.37275       -54.801       876.614   150.1088076     2.0116099   150.1088215     2.0115960   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field5      0.344393       0.47718      0.381386      -60.3552       876.614   149.7727500     1.8541850   149.7727639     1.8541711   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field6      0.383735      0.472774      0.382753      -60.7372       876.614   149.8339123     1.9810591   149.8339262     1.9810452   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field7      0.370296      0.473959      0.387815      -55.5405       876.614   149.8391360     2.2262124   149.8391499     2.2261985   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field8      0.346636      0.475676      0.379823      -59.3632       876.614   149.8618131     2.1731242   149.8618270     2.1731103   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field8_sci.spw0_1_2_3.cont.I.image.fits
