# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2012.1.00323.S   150.200089           2.018651             2015-04-16     57128.0            uid://A002/X67ccb6/X13    uid://A002/X67ccb6/X14    uid://A002/X7d44e7/X457    27.841227782061623  
  2012.1.00323.S   150.200089           2.018651             2015-04-16     57128.0            uid://A002/X67ccb6/X17    uid://A002/X67ccb6/X18    uid://A002/X7d76cc/X374    29.716937697333023  
  2012.1.00323.S   150.760406           1.70192              2015-04-16     57128.0            uid://A002/X67ccb6/X13    uid://A002/X67ccb6/X14    uid://A002/X7d44e7/X457    27.841227782061623  
  2012.1.00323.S   150.760406           1.70192              2015-04-16     57128.0            uid://A002/X67ccb6/X17    uid://A002/X67ccb6/X18    uid://A002/X7d76cc/X374    29.716937697333023  
  2012.1.00919.S   150.11625            1.9510000000000003   2015-04-25     57137.0            uid://A002/X609170/X2f    uid://A002/X609170/X30    uid://A002/X7d44e7/X750    69.88859567901238   
  2012.1.00536.S   150.12672083333334   2.287447222222222    2015-04-25     57137.0            uid://A002/X5d7935/X388   uid://A002/X5d7935/X389   uid://A002/X7d76cc/X79e    21.741724751562803  
  2012.1.00952.S   149.92212            2.2452200000000007   2015-06-03     57176.0            uid://A002/X5d7935/X2a4   uid://A002/X5d7935/X2a5   uid://A002/X78cd19/X991    71.37398628876866   
  2012.1.00952.S   150.02304            2.328560000000001    2015-06-03     57176.0            uid://A002/X5d7935/X2a4   uid://A002/X5d7935/X2a5   uid://A002/X78cd19/X991    71.37398628877665   
  2012.1.00952.S   149.90875            2.4825299999999997   2015-06-03     57176.0            uid://A002/X5d7935/X2a4   uid://A002/X5d7935/X2a5   uid://A002/X78cd19/X991    71.37398628877345   
  2012.1.00978.S   150.36282916666667   2.148833333333333    2015-07-03     57206.0            uid://A002/X7fb989/X8d    uid://A002/X7fb989/X8e    uid://A002/X828760/Xb5     18.26507219185684   
  2012.1.00978.S   149.8767             1.924316666666667    2015-07-09     57212.0            uid://A002/X7fb989/X91    uid://A002/X7fb989/X92    uid://A002/X8440e0/X28c2   18.063283828069615  
  2012.1.00978.S   150.08229166666663   2.5345555555555555   2015-07-30     57233.0            uid://A002/X7fb989/X86    uid://A002/X7fb989/X87    uid://A002/X86fcfa/X31d    20.938998929851827  
  2013.1.00092.S   150.1825             2.234861111111111    2015-08-06     57240.0            uid://A001/X13f/X31       uid://A001/X13f/X32       uid://A002/X87544a/Xc2a    61.567975289843844  
  2012.1.00978.S   149.92857916666668   2.4939444444444447   2015-08-08     57242.0            uid://A002/X7fb989/X8a    uid://A002/X7fb989/X8b    uid://A002/X87c075/X4c02   18.322073631596172  
  2013.1.00092.S   149.94829166666668   1.7386277777777779   2015-08-28     57262.0            uid://A001/X13f/Xd        uid://A001/X13f/Xe        uid://A002/X8970e9/X1341   65.73041246316266   
  2013.1.00668.S   149.74625            2.0844444444444443   2015-10-16     57311.0            uid://A001/X11d/X3f       uid://A001/X11d/X40       uid://A002/X822d50/X215    42.25884583597321   
  2013.1.00034.S   149.78432083333334   1.9128305555555556   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.43235833333333   1.6923694444444444   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.50357083333336   1.8117805555555557   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.01205            1.6521194444444445   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.81804166666666   2.0131611111111116   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.96997083333335   1.673138888888889    2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.97920000000002   1.82785              2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.4129916666667    1.8516888888888887   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.84900833333333   1.9337194444444445   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.34457916666668   1.953988888888889    2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.7642291666667    1.907661111111111    2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.18949166666667   2.0369888888888887   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   149.66327083333334   2.06675              2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.1541416666667    1.80425              2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.27047083333332   2.0338194444444446   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.0908             1.821138888888889    2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
  2013.1.00034.S   150.0086583333333    2.0257500000000004   2015-10-24     57319.0            uid://A001/X11d/Xa        uid://A001/X11d/Xb        uid://A002/X87c075/X1692   18.340901017141245  
