#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2                       OBS_DATE     image_file
# 
    2011.0.00097.S    1    1    2            COSMOS8_field5      0.328198      0.585725      0.419351      -55.9019       876.714   150.0951000     2.1937789   150.0951139     2.1937650   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field6      0.326642      0.591476      0.419735      -55.7676       876.714   149.6074202     2.6646725   149.6074341     2.6646586   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field7      0.322805      0.590874       0.41913      -56.3421       876.714   149.6315616     2.0700717   149.6315755     2.0700578   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field8      0.339373      0.592091      0.418836      -56.5988       876.714   149.6459448     1.8434934   149.6459587     1.8434795   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field9      0.322317      0.593425      0.418345      -56.6677       876.714   149.6917307     1.8285474   149.6917446     1.8285335   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field2      0.299712       0.67043      0.450874       77.2457       876.714   150.3297167     2.4382161   150.3297306     2.4382022   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field2_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field3      0.295261      0.663296      0.449306       78.2912       876.714   150.3306087     1.8136881   150.3306226     1.8136742   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field4      0.285368      0.657429      0.451475       78.0934       876.714   150.3367391     2.1240350   150.3367530     2.1240211   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field4_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field5       0.29194      0.651061       0.45041       78.9543       876.714   150.3669865     1.7232455   150.3670004     1.7232316   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field6      0.296975      0.645524      0.453817       79.3409       876.714   150.3773628     2.3118270   150.3773767     2.3118131   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T22:31:13.535999     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field6_sci.spw0_1_2_3.cont.I.image.fits
